,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
4896,"Gavin Newsom was ""the first to take on the National Rifle Association and win.""",meter-false,2018,April,23
4897,"""In Mobile, it’s something like, 1,700 families generate 80 percent of the crime. We know who those families are.""",meter-mostly-true,2018,April,18
4898,"Says North Korea has ""agreed to denuclearization.""",meter-false,2018,April,22
4899,"Says that in the U.S. Capitol, ""Stephen F. Austin’s and Sam Houston’s statues"" are ""the only ones holding a rifle or a sword.""",meter-mostly-false,2018,March,28
4900,"After attacking Emma Gonzalez, U.S. Rep. Steve King is ""facing arrest.""",meter-false,2018,March,29
4901,"""It begins: Florida police now confiscating guns from people with no due process.""",meter-false,2018,April,18
4902,"Many March for Our Lives speakers called for ""the murder of those who would not turn over their guns to the government.""",meter-false,2018,March,27
4903,"A bill in Congress ""will ban all semi-automatic weapons, including pistols and shotguns. So, yes, they are coming to take away our guns.""",meter-false,2018,March,26
4904,"""March For Our Lives is backed by radicals with a history of violent threats, language and actions.""",meter-false,2018,March,21
4905,"Says 642,000 crimes were committed against Texans by criminal immigrants in a recent seven-year period.",meter-false,2018,March,7
4906,"""Half of the American women who are murdered are killed by their intimate partners.""",meter-true,2018,March,13
4907,"Says ""PTA meetings are now being conducted to help parents tell their kids"" that if a guy with an AR-15 walks into their classroom, ""you are supposed to create as much chaos as you possibly can. They want you to scream and yell and dance around and throw books and just keep moving.""",meter-true,2018,February,24
4908,"""The Obama administration had cut $300 million from school safety.""",meter-mostly-false,2018,March,7
4909,"""Florida is one of only 10 states that totally prohibit a (firearm) registry.""",meter-mostly-true,2018,February,26
4910,"President Donald ""Trump’s latest set of sanctions against companies and countries benefiting North Korea includes every nation but one making shipments to (North Korea). The one nation Trump exempted from his punitive ban was . . . wait for it . . . drumroll: Russia.""",meter-mostly-false,2018,March,2
4911,"Florida’s school marshal program passed by the Florida House is the ""first-of-its kind.""",meter-mostly-false,2018,February,27
4912,"""Under N.Y. State ‘Assault Weapon’ ban 1 simple cosmetic change pictured here is difference between legal & banned""",meter-true,2018,February,22
4913,"In comparing mass shootings, ""France had a higher casualty rate in one year than the entire two administrations of Barack Obama.""",meter-mostly-false,2018,February,25
4914,"""A law enforcement officer is more likely to commit a crime than a CWP (concealed weapons permit) holder.""",meter-false,2018,February,21
4915,"Says NRA head Wayne LaPierre said, ""We believe in absolutely gun-free, zero-tolerance, totally safe schools. That means no guns in America’s schools. Period.""",meter-mostly-true,2018,February,22
4916,"In most states, you can buy an assault rifle with no proof of ID, but in every state, you need proof of ID to vote.",meter-mostly-false,2018,February,18
4917,"""Forty percent of the guns in this country are sold without any background checks.""",meter-false,2018,February,18
4918,"In Parkland, Fla. ""the mass murderer was immersed in Islamic and leftwing hate.""",meter-false,2018,February,14
4919,"""One-third of Floridians own guns. One-third.""",meter-mostly-true,2018,February,14
4920,"About 1.1 million people legally enter the U.S. each year as permanent residents -- ""65 percent of that is some kind of chain migration; 22 percent is diversity lottery, ‘asyling,’ refugees; only about 14, 15 percent has anything to do with work.""",meter-mostly-true,2018,January,12
4921,"Says ""566,000 crimes"" were ""made in Texas by criminal aliens in the last 6 years.""",meter-false,2018,January,4
4922,"Says the concealed carry bill would allow residents of certain states to ""travel to your community and walk right into a school zone with a loaded weapon, no matter what local laws say.""",meter-false,2017,December,5
4923,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",meter-mostly-false,2017,November,26
4924,"""We’ve cut taxes 75 times, cut $7.5 billion worth in taxes, and as a result we’ve added over 1.3 million jobs.""",meter-mostly-true,2017,November,9
4925,"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",meter-mostly-true,2017,October,17
4926,"""Bump stocks are already illegal in the state of New York. You can't buy one.""",meter-mostly-false,2017,November,6
4927,"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",meter-false,2017,October,17
4928,"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",meter-mostly-true,2017,November,6
4929,"Chicago is ""the city with the strongest gun laws in our nation.""",meter-false,2017,November,7
4930,"""Part of this omnibus gun bill that year (was) legalizing machine guns in the state of Missouri.""",meter-mostly-true,2017,October,2
4931,"""People who die from a home invasion make up a sad but minuscule .04% of all gun murders in the U.S. And over a third of them are killed by their own gun that the criminal has either stolen or wrestled from them.""",meter-mostly-false,2017,October,4
4932,"Says Sen. Dianne Feinstein said ""if she had 51 votes in the Senate for 'Mr. and Ms. America, turn in all of your guns,' they would do it.""",meter-false,2017,October,8
4933,"""The Obama administration approved the sale of bump fire stocks on at least two occasions.""",meter-mostly-true,2017,October,5
4934,"""White men have committed more mass shootings than any other group.""",meter-mostly-true,2017,October,2
4935,"In Wisconsin, ""we have a bill that would allow hidden, deadly weapons -- every single person to carry one -- no training, no background check, even around schools.""",meter-mostly-true,2017,October,4
4936,"""The crowd (in Las Vegas) fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer ...""",meter-false,2017,October,2
4937,"""I think if you look to Chicago, where you had over 4,000 victims of gun-related crimes last year, they have the strictest gun laws in the country. That certainly hasn’t helped there.""",meter-false,2017,October,2
4938,"""ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’""",meter-false,2017,May,24
4939,"""We're flying 1987 planes with 1987 technology.""",meter-mostly-true,2017,July,20
4940,"Says Sen. Jon Tester ""believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government.""",meter-false,2017,July,31
4941,"""Bill Clinton gave North Korea $5 billion and two nuclear reactors in 1994, essentially giving them nukes.""",meter-false,2017,August,9
4942,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",meter-mostly-true,2017,August,5
4943,"Amazon has a ""no-tax monopoly.""",meter-false,2017,July,24
4944,"Say Gretchen Carlson said, ""The 2nd Amendment Was Written Before Guns Were Invented.""",meter-false,2017,June,15
4945,"Says Adam Putnam ""was for amnesty.""",meter-mostly-true,2017,July,10
4946,"""Sanctuary cities are extremely dangerous.""",meter-mostly-false,2017,July,5
4947,"""Cuba is far more sanctioned than North Korea.""",meter-mostly-true,2017,July,6
4948,"Says Iran has ""violated the terms of the (nuclear) deal.""",meter-mostly-false,2017,June,8
4949,"""Nearly $2 billion in cash was flown over to Iran, money that the Obama administration has admitted is being used for terrorists and to support further activities there.""",meter-mostly-true,2017,June,6
4950,"""I’m proud to say that under my administration, as you just heard, we will be building the first new heavy icebreakers the United States has seen in over 40 years.""",meter-mostly-true,2017,May,17
4951,"Says Travis County Sheriff Sally Hernandez ""declared that she would not detain known criminals accused of violent crimes.""",meter-false,2017,May,7
4952,"A University of Texas ""student pulled out a concealed handgun"" on a knife-wielding suspect ""and made him back down.""",meter-false,2017,May,2
4953,"The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",meter-true,2017,April,24
4954,"""The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twenty-fold.""",meter-mostly-true,2017,April,18
4955,"With North Korea, ""nobody has ever seen such a positive response on our behalf from China.""",meter-mostly-true,2017,April,17
4956,"Says the University of South Florida invests in oil companies like BP, tobacco companies, weapons manufacturers and private prisons.",meter-mostly-true,2017,April,11
4957,"""We have counties where there have been one arrest under the SAFE Act. It indicates there's not a whole lot of interest in enforcing this in our upstate counties.""",meter-mostly-true,2017,March,1
4958,"""Man pardoned by Obama three months ago arrested for murder.""",meter-false,2017,February,28
4959,"""Most of these mass shootings take place in (areas) where you're not allowed to have a concealed weapons permit.""",meter-mostly-true,2017,February,12
4960,"In the ""past few weeks,"" President Donald Trump pointed out ""Iranian violations on ballistic missile tests. By the way, these ballistic missiles are inscribed in Hebrew, ‘Israel must be destroyed.’ """,meter-mostly-true,2017,February,15
4961,"""Over 39% of violent criminals return to prison following their release.""",meter-mostly-true,2017,February,1
4962,"""In our nation’s capital, killings have risen by 50 percent.""",meter-mostly-false,2017,January,20
4963,"""I would imagine that there's probably a gun in the school (in Wapiti, Wyo.) to protect from potential grizzlies.""",meter-false,2017,January,17
4964,"Says Donald Trump ""thinks stop-and-frisk is fine.""",meter-true,2016,November,18
4965,"California has seen a ""56 percent decline in the gun murder rate"" since the 1990s.",meter-mostly-true,2016,November,9
4966,"""The @nytimes states today that DJT believes ‘more countries should acquire nuclear weapons.’ How dishonest are they. I never said this!""",meter-false,2016,November,13
4967,"In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.",meter-mostly-false,2016,October,19
4968,"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't.""",meter-mostly-true,2016,October,19
4969,"""What the District of Columbia was trying to do (with its handgun ban) was to protect toddlers from guns.""",meter-mostly-true,2016,October,19
4970,"Hillary Clinton said gun confiscation ""would be worth considering.""",meter-mostly-false,2016,October,8
4971,"Says Deborah Ross ""supports the Iran nuclear deal and the ransom it paid for hostages.""",meter-mostly-true,2016,September,27
4972,"Donald Trump has said ""nuclear proliferation is OK.""",meter-mostly-true,2016,October,4
4973,"""You would receive a citation for taking a dildo to class"" at the University of Texas.",meter-mostly-true,2016,August,24
4974,"""If you give guns to gangs, you can get out of jail free, if (California’s Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.""",meter-false,2016,October,5
4975,"""In the state legislature, I supported Second Amendment rights.""",meter-mostly-true,2016,September,15
4976,"Says Donald Trump ""never said that"" more nations should get nuclear weapons.",meter-mostly-false,2016,October,4
4977,"Says Philando Castile ""had been stopped by police 40 or 50 times before that fatal incident.""",meter-true,2016,October,4
4978,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",meter-mostly-false,2016,September,28
4979,"Says Rob Portman ""even voted to allow people on the terrorism watch list to buy guns.""",meter-false,2016,September,21
4980,"""Brock Turner’s early release will be a regular occurrence if Prop. 57 passes.""",meter-mostly-false,2016,September,2
4981,"Says Marco Rubio voted ""against every bill that would have helped keep our families safe. He even voted against a bipartisan measure, introduced by a Republican, to prevent people on the no-fly list from purchasing guns.""",meter-mostly-false,2016,September,15
4982,"""I never said"" that Muslims would be subject to profiling under his policies.",meter-false,2016,September,19
4983,"Says ""Patrick Murphy is the only candidate to have voted against every measure to fund Zika.""",meter-false,2016,September,7
4984,"Says Hillary Clinton ""is the one that labeled African-American youth as ‘superpredators.’""",meter-mostly-true,2016,August,28
4985,"The Obama administration gave Iran ""$400 million in ransom payment cash.""",meter-mostly-false,2016,August,21
4986,"Says there was a ""NATO base in Turkey being under attack by terrorists.""",meter-false,2016,August,14
4987,"Says Donald Trump ""has been talking about the option of using a nuclear weapon against our Western European allies.""",meter-mostly-false,2016,August,2
4988,"Says Hillary Clinton ""doesn’t believe in your right to keep a gun at home for self-defense.""",meter-false,2016,August,10
4989,"Says Barack Obama and Hillary Clinton are ""responsible for leading America into a deal that will arm Iran.""",meter-mostly-true,2016,August,3
4990,"""We fixed a loophole in the (gun) background record check system so that we could make our commonwealth safer.""",meter-true,2016,July,27
4991,"""We put a lid on Iran's nuclear program without firing a single shot.""",meter-mostly-true,2016,July,28
4992,"Says Hillary Clinton's Iran nuclear deal ""lined the pockets of the world's number one state sponsor of terrorism with your money.""",meter-mostly-false,2016,July,21
4993,"""Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.""",meter-true,2016,July,27
4994,"""I’m not one for name calling.""",meter-false,2016,July,27
4995,"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""",meter-mostly-false,2016,July,26
4996,"Says Hillary Clinton ""wants to essentially abolish the Second Amendment.""",meter-false,2016,July,21
4997,"""Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half.""",meter-mostly-true,2016,July,13
4998,"Says Gary Farmer’s claim that he ""received an 'A' from the NRA"" is ""an absolute lie.""",meter-true,2016,July,8
4999,"""Thanks to (North Carolina’s) governor and the legislature, the average teacher salary can barely support a family.""",meter-mostly-false,2016,June,22
5000,"""You can’t get on an airplane, but more than 2,000 people on that list have been able to buy a gun.""",meter-mostly-false,2016,June,22
5001,"""People have a constitutional right to have semiautomatic rifles.""",meter-mostly-true,2016,June,19
5002,"""If Question 1 were to pass here in Nevada, we would have more restrictive gun laws here in Nevada dealing with the transfer of firearms than they do in California.""",meter-mostly-true,2016,June,6
5003,"""Assault rifles already are banned.""",meter-mostly-false,2016,June,13
5004,"Last year, ""244 suspected terrorists walked into gun shops and attempted to purchase a firearm; 223 were able to get the firearm.""",meter-mostly-true,2016,June,14
5005,"The rifle used by Omar Mateen ""shoots off 700 rounds in a minute.""",meter-mostly-false,2016,June,12
5006,"""More than 32,000 Americans lose their lives to gun violence each year.""",meter-mostly-true,2016,June,13
5007,"""Florida doesn't regulate assault weapons or .50 caliber rifles or large-capacity ammunition magazines. It doesn't require a permit to purchase a gun. It doesn't require any registration, whatsoever.""",meter-mostly-true,2016,June,13
5008,"Says ""Obama wants to give (Iran) nuclear weapons and Michael Bennet, he was all for it.""",meter-false,2016,May,31
5009,"Florida has ""issued more than 3 million conceal carry permits in the past 30 years. Only 168 have been revoked.""",meter-mostly-true,2016,May,20
5010,"""I'm also the only lieutenant governor to not take a security detail.""",meter-mostly-true,2016,April,30
5011,"""Austin is number one in Texas in startups, venture capital and patents.""",meter-true,2016,April,25
5012,"Says Hillary Clinton ""wants to abolish the Second Amendment.""",meter-false,2016,May,7
5013,"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",meter-false,2016,May,5
5014,"""There’s no data that says a gun-free zone has saved lives.""",meter-mostly-true,2016,April,26
5015,"Says Danny Tarkanian is ""NRA ‘F’ Rated.""",meter-mostly-true,2016,April,13
5016,"""You can absolutely get a gun if you have several felonies as long as you buy it on the Internet or at a gun show.""",meter-mostly-true,2016,April,28
5017,"The decision for the United States to buy heavy water from Iran ""will directly subsidize Iran’s nuclear program.""",meter-mostly-false,2016,April,22
5018,"Says Bernie Sanders ""has been largely a very reliable supporter of the NRA.""",meter-mostly-false,2016,April,14
5019,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",meter-false,2016,March,21
5020,The rate of U.S. female homicide victims outnumbers 24 other developed countries by more than 2½ to 1.,meter-mostly-true,2016,March,8
5021,"Says Marco Rubio ""skipped 18 defense votes including one to arm the Kurds to fight ISIS.""",meter-mostly-true,2016,March,6
5022,"Says he supported the 1994 crime bill because ""there is a ban on assault weapons in that bill.""",meter-mostly-true,2016,February,28
5023,"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",meter-mostly-true,2016,February,11
5024,"North Korea’s missiles are ""not going to have a capability to reach the United States anytime real soon.""",meter-true,2016,February,8
5025,"""While states used to have regulatory power over fishing, federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep.""",meter-false,2016,January,8
5026,"""People think AIDS is done -- it’s not done.""",meter-mostly-true,2016,January,24
5027,"""Bioweapon! Zika virus is being spread by GMO mosquitos (sic)""",meter-false,2016,January,27
5028,"""Gene Green is the NRA’s favorite Democrat in Congress. ... ""It’s no wonder the congressman has a lifetime A rating from the NRA.""",meter-mostly-false,2016,February,5
5029,"""Nothing was done. I mean, $25 million was spent, but we don’t have that (gun ownership) database.""",meter-false,2016,January,20
5030,"Neighbors of the San Bernardino shooters ""knew that they were talking about trying to take our country and attack it.""",meter-false,2016,January,28
5031,"Says Bernie Sanders ""has reversed his position on immunity"" for gun manufacturers and sellers.",meter-true,2016,January,17
5032,"""California Senator, Democratic Senator Dianne Feinstein said if she could say to Mr. America and Mrs. America, 'Give me your guns, I'm rounding 'em up,' she would.""",meter-false,2016,January,7
5033,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",meter-false,2016,January,13
5034,"Every ""one of the mass shootings except two in America since 1950 have been"" in ""gun-free zones.""",meter-mostly-true,2016,January,3
5035,"""We spend more on our military than the next eight nations combined.""",meter-mostly-true,2016,January,12
5036,"""Let’s start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.""",meter-true,2016,January,3
5037,"""The 90 percent statistic of supporting background checks, that's been debunked.""",meter-false,2016,January,3
5038,"""A violent felon can buy (a gun) over the Internet with no background check, no questions asked.""",meter-mostly-true,2016,January,5
5039,"""Everywhere that we have more citizens carrying guns, crime is less. There's a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.""",meter-mostly-false,2016,January,3
5040,"""91% of suspected terrorists who attempted to buy guns in America walked away with the weapon they wanted.""",meter-mostly-true,2015,December,8
5041,"""Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we don't need federal standards.""",meter-mostly-true,2015,December,19
5042,"Oregon’s Umpqua Community College ""where the shooting occurred was a gun-free zone.""",meter-mostly-false,2015,November,19
5043,"""29 mass shootings have been committed by concealed carriers since 2007, while during this period only one (1) licensed civilian meaningfully intervened in a mass shooting.""",meter-mostly-true,2015,October,29
5044,"""Forty-five states allow open carry of firearms.""",meter-mostly-true,2015,November,1
5045,"North Korea ""has over two-dozen nuclear warheads.""",meter-mostly-true,2015,October,30
5046,"""After Sandy Hook, Ted Cruz stopped Obama’s push for new gun control laws.""",meter-mostly-false,2015,November,6
5047,"""It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.""",meter-mostly-false,2015,October,15
5048,"""Sen. Sanders did vote five times against the Brady bill.""",meter-true,2015,October,13
5049,"President Barack Obama and Secretary of State John Kerry agreed ""to lift Iran’s economic and arms sanctions without any proof of change in conduct.""",meter-false,2015,September,11
5050,"""While 38 percent of (firearms) dealers that were inspected in 2011 were noncompliant with federal law, only 0.05 percent of inspected dealers had their licenses revoked.""",meter-mostly-true,2015,October,5
5051,"About ""3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.""",meter-mostly-true,2015,October,2
5052,"""90% of Americans want national background checks that close loopholes.""",meter-true,2015,October,2
5053,"Honduras ""bans citizens from owning guns"" and has the ""highest homicide rate in the entire world."" Switzerland, with a similar population, ""requires citizens to own guns"" and has the ""lowest homicide rate in the entire world.""",meter-false,2015,September,25
5054,"The Iran deal ""trusts the Iranians to inspect themselves.""",meter-false,2015,September,1
5055,"""The Iran Deal will facilitate and accelerate the nation of Iran acquiring nuclear weapons.""",meter-false,2015,September,9
5056,"The nuclear agreement with Iran ""never sunsets. There's no sunset in this agreement.""",meter-mostly-true,2015,September,2
5057,"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states.""",meter-false,2015,September,2
5058,"Bernie Sanders opposes the death penalty, and Hillary Clinton supports it.",meter-mostly-true,2015,August,26
5059,"""In countries where there are higher, more strict gun laws, there is more gun violence.""",meter-false,2015,August,27
5060,"""I was one of the few, very few, who voted `no’ on the Iran deal.""",meter-false,2015,August,10
5061,"Says ""56 percent of (the U.S.-Mexico) border is not under our control.""",meter-mostly-true,2015,August,23
5062,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",meter-false,2015,August,6
5063,"The Navy ""is bringing charges against"" a Navy officer who shot at the Chattanooga shooter ""for illegally discharging a firearm on federal property.""",meter-false,2015,August,1
5064,President Barack Obama met with Iranian president Hassan Rouhani.,meter-false,2015,July,22
5065,"President Barack Obama ""said at the beginning of the negotiations that the basic approach was to dismantle Iran’s nuclear program in exchange for dismantling the sanctions.""",meter-false,2015,July,15
5066,"The Iran deal ""violates promises the president made to the American people."" ... ""It is not an anytime, anywhere inspection process.""",meter-mostly-true,2015,July,19
5067,"""Bernie Sanders voted against the Brady Bill -- background checks and waiting periods.""",meter-mostly-true,2015,June,25
5068,"""If you want to vote in"" Texas, ""you can use a concealed-weapon permit as a valid form of identification, but a valid student ID isn’t good enough.""",meter-true,2015,June,4
5069,"""Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.""",meter-false,2015,June,16
5070,"If you count United States airstrikes against ISIS, ""75 percent of those combat missions return to base without having fired a weapon.""",meter-true,2015,May,24
5071,"""You can be an NFL player with murder charges and not be suspended.""",meter-mostly-true,2015,May,13
5072,"""Once again, a police officer has been killed with an illegal gun from Georgia – a state that last year did the NRA’s bidding and weakened its already lax gun laws.""",meter-mostly-false,2015,May,6
5073,"""Amendments (Hillary Clinton) supported and voted for in 2006, she no longer supported in 2008,"" showing she changed positions on an India nuclear deal.",meter-false,2015,May,1
5074,"The United States ""is not modernizing its nuclear weapons.""",meter-false,2015,April,25
5075,"The United States ""is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.""",meter-false,2015,April,25
5076,"""The Iranians are now saying that what we're saying the deal is and what they understand it to be are two different things.""",meter-true,2015,April,13
5077,"""It’s estimated that 40 percent of all the guns that are sold in the United States occur with no background records check.""",meter-mostly-false,2015,April,16
5078,"""There's no statistical evidence that"" a waiting period for handgun purchases ""reduces violence whatsoever.""",meter-mostly-true,2015,April,21
5079,"Florida has the most concealed weapon permits in the nation, ""nearly double that of the second state, which is Texas.""",meter-mostly-true,2015,April,10
5080,"In Wisconsin, a ""second arrest for carrying pot is a felony,"" but a second or subsequent arrest ""for carrying a gun illegally is a misdemeanor.""",meter-mostly-true,2015,April,14
5081,"""U.S. police killed more people in just one month than the U.K.’s did in over a century.""",meter-false,2015,April,4
5082,"""Iran’s defense budget is $30 billion. Our defense budget is closer to $600 billion.""",meter-mostly-true,2015,April,5
5083,"""You know how many children in the history of the United States have died in a fire (at school)? Zero.""",meter-false,2015,April,2
5084,"A school uniform policy helps with ""school safety, helps with truancy.""",meter-mostly-true,2015,March,26
5085,"""According to the state of Florida, you are almost twice as likely to be attacked by an alligator than by someone who happens to carry a conceal-and-carry permit.""",meter-mostly-false,2015,March,16
5086,"The IAEA, or the International Atomic Energy Agency, ""last month said the Iranians are not currently living up to their obligations.""",meter-mostly-true,2015,March,22
5087,"Says that ""Susan Rice, the president's national security adviser, has already conceded that Iran will have a robust uranium enrichment capability.""",meter-mostly-false,2015,March,9
5088,"""Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.""",meter-mostly-false,2015,March,11
5089,"""The Iranian parliament will get to say yes or no on this deal, and I think the United States Congress should have the exact same input into the process.""",meter-mostly-false,2015,March,8
5090,"""Black people are eight times more likely to be arrested than white people"" in Madison.",meter-mostly-true,2015,January,9
5091,"""There are at least three sectors of the border, one in particular, that are just completely insecure.""",meter-mostly-false,2015,February,27
5092,"Says ""President Obama is using executive actions to impose gun control on the nation, targeting the top-selling rifle in the country ... with a ban on one of the most-used"" assault rifle bullets.",meter-mostly-false,2015,February,27
5093,The potential Iran nuclear agreement would limit Iran to the number of centrifuges needed for a weapon but too few for a nuclear power program.,meter-true,2015,February,18
5094,"""200,000 students attempt suicide every year on college campuses.""",meter-mostly-true,2015,February,16
5095,"Ronald Reagan ""banned ownership of fully automatic rifles. He supported the assault weaspons ban.""",meter-mostly-true,2015,January,19
5096,"Assault weapons and handguns are allowed in the state Capitol while bullhorns, trumpets, helium balloons and flags on poles are banned.",meter-mostly-true,2015,January,19
5097,"On assault weapon violence: ""Ducks have more protection than people in Virginia.""",meter-false,2015,January,19
5098,"""We've caught Iran cheating on the interim (nuclear) deal.""",meter-mostly-false,2014,December,28
5099,"Since the United States began negotiations with Iran, ""that's probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.""",meter-mostly-true,2014,December,21
5100,"Says 3,000 Americans ""died of gunfire"" between the time of the Ebola scare in Dallas and the midterm elections.",meter-mostly-true,2014,December,14
5101,"""The conviction rate is almost exactly the same"" for whites and blacks who commit murder.",meter-false,2014,November,24
5102,"""The NRA supported background checks...""",meter-mostly-true,2014,November,18
5103,"""No one was taken into custody"" for feeding the homeless.",meter-mostly-true,2014,November,5
5104,"""Obama, instead of nominating a health professional, he nominated someone who is an anti-gun activist (for surgeon general).""",meter-false,2014,October,19
5105,"Republicans ""made it easier to buy a gun"" in states they won in 2010.",meter-mostly-false,2014,October,10
5106,Says PolitiFact has ruled that Ed Gillespie’s ads are false and misleading.,meter-mostly-true,2014,September,30
5107,"Republican House candidate Marilinda Garcia ""even opposes closing the loophole that allows dangerous criminals to get a gun without a background check.""",meter-mostly-true,2014,September,16
5108,"""Mary Landrieu voted to take away your gun rights.""",meter-false,2014,September,24
5109,"The Justice Department’s Fast and Furious gun-walking program ""started in the Bush administration.""",meter-false,2014,September,28
5110,"""Obama admin gutted @ProjChildSafe budget to provide trigger locks and safety kits.""",meter-false,2014,September,4
5111,"""I was able to go and buy an automatic weapon … Most people can go out and buy an automatic weapon.""",meter-false,2014,August,20
5112,"""Far more children died last year drowning in their bathtubs than were killed accidentally by guns.""",meter-false,2014,August,9
5113,"""If 20 million illegals vote, you can kiss the Second Amendment goodbye.""",meter-false,2014,August,9
5114,"Says Mitch McConnell voted ""two times against the Violence Against Women Act.""",meter-mostly-true,2014,July,30
5115,"Since 1999, 440 people have been killed in attacks on church property in the United States.",meter-mostly-false,2014,April,9
5116,"""For the first time in history, (Thor’s) hammer is being held by a woman.""",meter-mostly-false,2014,July,15
5117,"Says attorney general candidate Jon Richards ""went so far to say he would only enforce the laws with which he personally agreed.""",meter-false,2014,June,26
5118,"Says Milwaukee County Sheriff David Clarke has ""deputies collecting overtime while sitting passively in chairs watching courthouse security personnel work.""",meter-mostly-true,2014,June,2
5119,An average of nine children a day in the U.S. die of gunshot wounds.,meter-mostly-false,2014,June,17
5120,"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",meter-false,2014,March,24
5121,"""Public display of a long rifle is perfectly legal in Texas.""",meter-true,2014,June,2
5122,"""Charlie Crist allowed college tuition to increase up to 15 percent every year.""",meter-mostly-true,2014,June,2
5123,"""20 percent of the time (smart guns) won't work.""",meter-false,2014,May,6
5124,"""We were the last flag flying in Benghazi.""",meter-false,2014,May,11
5125,"""Ninety-seven percent of the time. That’s how often Mark Warner votes with President Obama.""",meter-true,2014,April,25
5126,"Roughly 500,000 Georgians -- or about 5 percent of the state’s residents -- have gone through a background check to legally obtain a Georgia weapons carry license.",meter-mostly-true,2014,April,23
5127,"Says Attorney General Eric Holder recently revealed ""this idea to have government have gun owners wear special bracelets that would identify you as a gun owner.""",meter-false,2014,April,26
5128,"""No other country has a constitutional right"" like the Second Amendment.",meter-mostly-true,2014,April,25
5129,"""By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.""",meter-mostly-true,2014,March,18
5130,"President Barack Obama spent ""$5 billion paying Ukrainians to riot and dismantle their democratically elected government.""",meter-false,2014,March,19
5131,"Earth ""has not warmed for the last 17 years.""",meter-mostly-false,2014,March,11
5132,"""Georgia lawmakers are now considering passing the most extreme gun bill in America.""",meter-mostly-false,2014,February,26
5133,"Even though Chicago has ""the most stringent gun laws on the books,"" it still ""has the highest murder rate"" in the country.",meter-mostly-true,2014,February,18
5134,"Gun ""marketplaces"" on Facebook mean ""ANYONE can broker a deal on a gun online, meet the seller in a parking lot somewhere, and walk away with a weapon.""",meter-mostly-true,2014,February,14
5135,"""Mitch McConnell voted with Harry Reid to infringe on our gun rights.""",meter-false,2014,February,19
5136,"Kip Kinkel and Clackamas Town Center shootings ""both where citizen with gun stopped the crime""",meter-false,2014,February,6
5137,"A gun ""background check is futile. Something like 42 (people during the) last year … were prosecuted for trying to buy a gun with a criminal record out of 11 million.""",meter-mostly-true,2013,December,15
