id,claim,truth_value,title,stated_on
815,"After the stunning success of a Ukrainian counteroffensive, momentum in the war has shifted to Kyiv but Russia is showing no signs of giving up. ",meter-true,Ukraine extends battlefield gains as Kremlin reels from setback,"September 13, 2022 at 12:27 AM GMT+5:30"
816,"Kremlin spokesman Dmitry Peskov said the aims of what Moscow still calls only a ""special military operation"" would be achieved despite Ukrainian advances.",meter-true,"Despite setbacks in Ukraine, Kremlin spokesman insists war will go on","September 12, 2022 at 4:18 PM GMT+5:30"
817,The study by the Carnegie Endowment for International Peace also found many Russians prefer to tune out the war because they find it upsetting and feel they have no control over it. ,meter-true,"Russians back war in Ukraine, but report finds notable opposition","September 07, 2022 at 5:02 PM GMT+5:30"
818,Vladimir Putin’s war plans have failed miserably.,meter-true,Opinion | Putin is losing his ‘war of choice’ in Ukraine,"September 07, 2022 at 12:36 AM GMT+5:30"
819,But we face our biggest test today.,meter-true,"Opinion | An independent Ukraine, with its achievements and flaws, is worth the fight","August 24, 2022 at 2:45 AM GMT+5:30"
820,"Victor Kravchenko’s son has spent decades trying to seal the place in history of his Ukrainian father, who fearlessly challenged Soviet Russia.
",meter-true,The Enduring Lessons of the Ukrainian Hero Who Stood Up to Soviet Russia in 1944,"August 17, 2022 at 8:45 PM GMT+5:30"
821,"They’re optimistic about the future, despite months of trauma.",meter-true,"Analysis | Ukrainians believe they’ll win the war, a survey finds","August 15, 2022 at 4:30 PM GMT+5:30"
822,Ukrainian cities must be defended. That doesn't justify Russian attacks on them.,meter-true,Opinion | What’s up with Amnesty International and its moral myopia on Ukraine?,"August 08, 2022 at 10:51 PM GMT+5:30"
823,Western officials and analysts suspect that Russia's depleted forces are close to exhausting their capacity to make further territorial gains in Ukraine.,meter-true,Ukraine could be turning the tide of war again as Russian advances stall,"July 28, 2022 at 9:07 PM GMT+5:30"
824,Ukraine can win the war with more Western weapons.,meter-true,Opinion | The U.S. is a lot stronger than Russia. We should act like it.,"July 27, 2022 at 4:30 PM GMT+5:30"
825,Rhetoric comes amid cautious hopes for grain exports,meter-true,Analysis | Russia’s war in Ukraine escalates on the ground and in Congress,"July 26, 2022 at 9:14 PM GMT+5:30"
826,"Instead of trying to avert Ukraine’s defeat, the West should be enabling Ukraine’s victory.",meter-true,Opinion | Shorten the war. Send 60 HIMARS to Ukraine.,"July 11, 2022 at 9:12 PM GMT+5:30"
827,Russia’s barbaric attack on a shopping mall reminds us of the stakes.,meter-true,Opinion | Putin wants to terrorize Ukraine into submission. It’s not working.,"June 29, 2022 at 9:29 PM GMT+5:30"
828,The alliance must adapt to a radically changed security environment.,meter-true,Opinion | Lithuanian President Gitanas Nauseda: Now is the time to make NATO even stronger,"June 23, 2022 at 8:17 PM GMT+5:30"
829,"As the war in Ukraine rages on, the strength of the European Union has been renewed, creating a new sense of unity and purpose. On Wednesday, June 29 at 11:00 a.m. ET, European Parliament President Roberta Metsola joins Washington Post national security reporter Missy Ryan to discuss the war in Ukraine, E.U. membership and the E.U.’s role in the conflict.",meter-true,"E.U. Parliament President discusses the war in Ukraine, E.U. membership and the E.U.’s role in the conflict ","June 23, 2022 at 2:41 AM GMT+5:30"
830,,meter-true,Opinion | How to end the war in Ukraine,"June 21, 2022 at 12:40 AM GMT+5:30"
831,"Analysts say that despite the surge in outside aid, Kyiv can hope for little more than a stalemate with Russia’s far bigger, better armed military. ",meter-true,"With scant options in Ukraine, U.S. and allies prepare for long war","June 18, 2022 at 5:03 AM GMT+5:30"
832,Milley said the international community has sent Ukraine more antitank weapons than there are tanks in the world. ,meter-true,U.S. defends weapons aid to Ukraine as ‘numbers clearly favor the Russians’ ,"June 16, 2022 at 1:27 PM GMT+5:30"
833,He said the world is “again seeing death and destruction on the European continent.”,meter-true,Milley equates ‘horrors’ in Ukraine with suffering during World War II,"June 07, 2022 at 12:30 AM GMT+5:30"
834,"From the most recent moments of the war to the early days, the images and stories featured here show what the conflict has wrought during its first three months.",meter-true,Scenes of ruin and resilience from 100 days of war in Ukraine,"June 03, 2022 at 6:40 PM GMT+5:30"
835,NATO Secretary General Jens Stoltenberg said Ukraine was entitled to seek the full expulsion of Russian forces from the Donbas region and Crimea. ,meter-true,"War may drag on, but Ukraine has right to its territory, NATO chief says","June 03, 2022 at 10:32 AM GMT+5:30"
836,Severodonetsk’s capture would allow Russian leaders to claim a badly needed symbolic and territorial victory.,meter-true,"Russia holds most of Severodonetsk, center of Donbas fight, official says","June 01, 2022 at 9:18 AM GMT+5:30"
837,"The High Mobility Artillery Rocket System, or HIMARS, will enable Ukraine “to more precisely strike key targets on the battlefield in Ukraine,"" Biden said.",meter-true,Biden confirms U.S. is sending advanced rocket systems to Ukraine,"June 01, 2022 at 7:26 AM GMT+5:30"
838,Obama and Trump got China wrong. Biden might be getting it right. ,meter-true,"Opinion | Despite the war in Ukraine, Biden understands China matters most ","May 29, 2022 at 7:30 PM GMT+5:30"
839,Some diplomatic observers say the lack of U.N. action to halt the war in Ukraine illustrates flaws embedded decades ago. ,meter-true,"At the United Nations, what about the war in Ukraine? ","May 26, 2022 at 3:30 PM GMT+5:30"
840,"The militaries of Australia, New Zealand and Norway have also tested electric bikes for reconnaissance and patrol. ",meter-true,Ukrainian fighters take to electric bikes in the war against Russia,"May 26, 2022 at 12:25 PM GMT+5:30"
841,"In a matter of months, since the invasion of Ukraine, Russia has outstripped Iran as the country under the most sanctions.",meter-true,Analysis | Russians look to Iran for lessons on life under long-term sanctions,"May 26, 2022 at 9:31 AM GMT+5:30"
842,,meter-true,"Analysis | The 5-Minute Fix: The war in Ukraine, three months on","May 25, 2022 at 1:59 AM GMT+5:30"
843,The guiding theme of this year’s gathering focuses squarely on how governments and businesses can grapple with “history at a turning point.”,meter-true,"Analysis | In shadow of war, there’s no ‘business as usual’ in Davos","May 23, 2022 at 9:31 AM GMT+5:30"
844,"In a rare joint television interview, Ukraine’s first lady said: ""Nobody takes my husband away from me, not even the war.""",meter-true,Ukraine’s first lady details war’s toll on the Zelensky family,"May 22, 2022 at 4:50 PM GMT+5:30"
845,The Geneva Conventions lay out rules for the treatment of captured fighters. Here's what to know.,meter-true,What rights do prisoners of war have under international law?,"May 21, 2022 at 2:44 AM GMT+5:30"
846,"Pro-war Russians have greater leeway to speak out than those who oppose the war, but some of the criticisms of the military effort are brutal. ",meter-true,Pro-war Russians are increasingly critical of the Ukraine conflict ,"May 19, 2022 at 7:22 PM GMT+5:30"
847,"A court in the Ukrainian capital, Kyiv, began hearings Friday in the case against Sgt. Vadim Shishimarin, the first Russian soldier to go on trial for alleged war crimes. He is accused of shooting a 62-year-old Ukrainian civilian in late February.",meter-true,Ukraine court begins first war crimes trial for Russian soldier,"May 13, 2022 at 11:01 PM GMT+5:30"
848,"Western leaders can't say when the awful battle with Russia will end, but they know the building blocks of the future: security, prosperity, law and order, democracy.",meter-true,Opinion | The time is now to plan for the aftermath of war in Ukraine,"May 13, 2022 at 4:19 AM GMT+5:30"
849,Russia has struggled in its invasion of Ukraine. That does not mean it will lose.,meter-true,Perspective | What don’t we know about the war in Ukraine? ,"May 12, 2022 at 1:21 AM GMT+5:30"
850,The director of national intelligence told senators that the Russian president may consider nuclear weapons in Ukraine but that she saw no imminent threat.,meter-true,"Putin prepared for ‘prolonged’ conflict, U.S. intelligence chief says","May 11, 2022 at 1:44 PM GMT+5:30"
851,The Washington Post has catalogued and verified more than 200 videos from the war in Ukraine into a searchable visual database.,meter-true,Database of 293 videos exposes the horrors of war in Ukraine,"May 09, 2022 at 7:00 PM GMT+5:30"
852,"The pint-size Jack Russell terrier has won hearts for his role sniffing out land mines, which Russian troops scattered in their retreat from Kyiv.",meter-true,"Zelensky awards medal to Patron, a Ukrainian bomb-sniffing dog","May 09, 2022 at 9:53 AM GMT+5:30"
853,"The contours of a Russian loss remain as murky as a Ukrainian win. And as the conflict heads into what is likely to be a protracted fight, the need to manage NATO unity and public opinion here and abroad — balancing the probable with the possible — has become as much a priority as what is happening on the battlefield.",meter-true,"As war grinds on, the definition of victory remains murky","May 07, 2022 at 2:30 PM GMT+5:30"
854,,meter-true,Opinion | The cost to Russia when Ukraine wins the war,"May 05, 2022 at 11:46 PM GMT+5:30"
855,"Lviv is undergoing ""colossal"" changes to cope with wartime strains on housing, schools and services",meter-true,An open-ended war forces one Ukrainian city to reinvent itself,"May 05, 2022 at 11:30 AM GMT+5:30"
856,It takes a lot of effort to be this wrong. You have to want it. ,meter-true,Perspective | Tucker Carlson’s bizarre theory of the war in Ukraine ,"May 04, 2022 at 12:08 AM GMT+5:30"
857,"Six Senate Democrats will introduce a resolution on Monday to urge a swift transition to a clean energy economy as a national security imperative, and to condemn oil and gas companies for profiting off Russia's invasion of Ukraine, according to details shared exclusively with The Climate 202.",meter-true,Analysis | Senate Democrats call for boosting clean energy in response to war in Ukraine,"May 02, 2022 at 5:07 PM GMT+5:30"
858,"Even as Ukraine struggles with long lines at gas stations, the European Union has paid Russia billions for energy goods since the start of the war. ",meter-true,"Kyiv urges residents to stop driving, so military can have the fuel","April 30, 2022 at 11:42 AM GMT+5:30"
859,The war in Ukraine is dragging out. Could this lead to a more peaceful future? ,meter-true,Perspective | Ukraine and the future of war,"April 27, 2022 at 4:30 PM GMT+5:30"
860,"The Sino-Russian alliance is a danger to the world, says a Czech official.",meter-true,Opinion | The Czech Republic is calling out China over Ukraine,"April 26, 2022 at 3:30 PM GMT+5:30"
861,The Russian invasion was a wake-up call that Germany ignored.,meter-true,Opinion | Germany once committed war crimes in Ukraine. Now it subsidizes Russia’s.,"April 26, 2022 at 3:30 PM GMT+5:30"
862,"Fighting continued as two top Biden officials traveled to Kyiv to visit the Ukrainian president. European leaders visited Ukraine weeks ago to witness firsthand evidence of atrocities committed by Russian soldiers but until Sunday, top U.S. officials had not visited the country since the invasion.",meter-true,"In Ukraine, despair and bloodshed in the backdrop of a somber holiday","April 25, 2022 at 5:41 AM GMT+5:30"
863,"Usually twice a day, the ministry tweets out a colorful blue graphic that summarizes its latest assessments about the state of play on the Ukrainian battlefield — where Russian troops are, what moves they’re making, which regions are most under threat. ",meter-true,How U.K. intelligence came to tweet the lowdown on the war in Ukraine,"April 22, 2022 at 2:30 PM GMT+5:30"
864,"The group released a report Thursday documenting evidence of summary executions, torture and forced disappearances by Russian forces in a suburb of Kyiv. ",meter-true,Human Rights Watch finds evidence of Russian atrocities in Bucha,"April 22, 2022 at 6:58 AM GMT+5:30"
865,A Ukrainian campaign is asking the world’s wealthiest people to help defend the country from Russian troops — by paying for military planes.,meter-true,A viral Ukrainian appeal to the ultra-rich: ‘Buy me a fighter jet’,"April 19, 2022 at 7:13 PM GMT+5:30"
866,Nearly one-third of Ukraine's protected waters and lands have suffered environmental damage during Russia's invasion.,meter-true,"Analysis | War in Ukraine poses environmental risk now and in the future, advocates say","April 19, 2022 at 5:48 PM GMT+5:30"
867,The 64th Motorized Brigade is one of the only Russian units publicly honored in this fashion despite larger battles elsewhere during the invasion.,meter-true,Putin honors brigade accused of war crimes in Bucha,"April 19, 2022 at 1:15 PM GMT+5:30"
868,"The Kremlin is looking to rectify air support and supply problems that plagued its assault on Ukraine's capital, Western defense strategists said.
",meter-true,"Russia learns from failure to take Kyiv as new offensive begins, U.S. says","April 19, 2022 at 12:38 PM GMT+5:30"
869,"Seven people were killed and as many as 11 injured, including a child, in Russian airstrikes on Lviv, Ukrainian officials said Monday. ",meter-true,"Lviv sees first wartime deaths amid strikes, Ukrainian officials say","April 18, 2022 at 3:04 PM GMT+5:30"
870,The sharp shift appears deliberate and coordinated in a nation where detailed Kremlin orders on messaging are handed down regularly to state media.,meter-true,Ominous rhetoric gains ground in Russia as its forces founder in Ukraine ,"April 13, 2022 at 9:57 PM GMT+5:30"
871,Worries spread over growing economic and financial risks as conflict could last for years.,meter-true,Lengthening war in Ukraine creates major problems for global economy,"April 13, 2022 at 12:30 PM GMT+5:30"
872,"Biden on Tuesday called Russia's invasion of Ukraine a 'genocide,' a term his administration has been avoiding. “It sure seems that way to me,"" he said.",meter-true,Biden calls Russia’s war in Ukraine a ‘genocide’,"April 13, 2022 at 4:35 AM GMT+5:30"
873,"The Russian president insisted he had ""no choice"" but to continue, as the United States and its allies launched investigations into reports of a possible chemical attack ahead of an imminent Russian offensive in the country’s east.",meter-true,Putin defends war as possible use of chemical weapons is investigated,"April 13, 2022 at 3:03 AM GMT+5:30"
874,"As battles tilt toward full-scale military confrontation on open terrain, Ukrainian officials are again calling for Western alliances to step up weapons supplies to help the country strengthen its position on the battlefield.",meter-true,"As war enters bloody new phase, Ukraine again calls for more weapons","April 11, 2022 at 5:51 AM GMT+5:30"
875,,meter-true,Opinion | The war in Ukraine,"April 08, 2022 at 11:37 PM GMT+5:30"
876,"The U.S. president has left a distinct imprint on the Ukraine crisis — at times emotional and freewheeling, at other times carefully choreographed and deliberate, but frequently a central player in marshaling the West’s response to Russia's invasion.",meter-true,Biden at war: Inside a deliberate yet impulsive Ukraine strategy,"April 07, 2022 at 12:30 PM GMT+5:30"
877,Why hand sanitizer could prove to be just as crucial to victory as antitank weapons.,meter-true,Opinion | Ukrainians should be on the lookout for a new battlefield enemy: Disease,"April 05, 2022 at 5:30 PM GMT+5:30"
878,Will the pro-Putin wing of the GOP stay loyal to the butcher of Bucha? ,meter-true,"Opinion | Hey, Tucker Carlson, are you still rooting for Russia over Ukraine?","April 05, 2022 at 5:30 PM GMT+5:30"
879,"Investigators taking detailed testimony from victims are ""soldiers in our hearts."" ",meter-true,"Town by town, Ukrainian prosecutors build Russian war crimes cases","April 05, 2022 at 11:30 AM GMT+5:30"
880,"For many on both sides of the Atlantic, the battles in Ukraine may mark something stark: a “Zeitenbruch” — a rupture in history, the closing of one age and the entry into another marked by even deeper uncertainty and great power rivalry.",meter-true,Analysis | The war in Ukraine and a ‘turning point in history’,"April 04, 2022 at 9:31 AM GMT+5:30"
881,"Ukraine is asking the International Criminal Court to send experts to Bucha, near Kyiv, to gather evidence of possible Russian war crimes.",meter-true,Signs of massacre in Bucha spark calls for war crimes probes,"April 03, 2022 at 7:46 PM GMT+5:30"
882,The naiveté on the Russian threat is palpable.,meter-true,Opinion | Too many conservatives oppose support for Ukraine. What’s their alternative?,"April 02, 2022 at 12:56 AM GMT+5:30"
883,"Like Putin, dictators tend to start risky wars, our research shows.",meter-true,Analysis | Why democracies win more wars than autocracies,"March 31, 2022 at 4:30 PM GMT+5:30"
884,"Zlata Moiseinko, age 10, and her family left their city amid the bombing from Russian troops. They hope to resettle in Germany.",meter-true,War in Ukraine has forced half the nation’s children to flee their homes,"March 26, 2022 at 5:30 PM GMT+5:30"
885,"Alex, who lives in Chernihiv and is volunteering with humanitarian aid efforts, sent journalists daily updates about the deteriorating situation in his hometown.",meter-true,"Seven days in Chernihiv, a Ukrainian city under siege","March 26, 2022 at 2:30 PM GMT+5:30"
886,"Mariupol city council said that based on eyewitness accounts, it appeared about 300 people had died in the attack. It did not provide details on how it had arrived at the figure.",meter-true,"Mariupol decries ‘cruelty’ of theater strike, considers death toll","March 25, 2022 at 7:40 PM GMT+5:30"
887,Internet platforms have been scrambling to adapt content policies built around notions of political neutrality to a wartime context.,meter-true,Analysis | Social media wasn’t ready for this war. It needs a plan for the next one.,"March 25, 2022 at 3:30 PM GMT+5:30"
888,Talks have their place — but not when your opponent is simply trying to destroy you.,meter-true,Opinion | Ukrainians don’t see Russia’s war crimes as an invitation to negotiate,"March 24, 2022 at 11:21 PM GMT+5:30"
889,"From a young girl singing ""Let It Go"" in a shelter to the horrors of life in besieged Mariupol, here are some striking videos that have emerged from the conflict.",meter-true,In videos: Moments that captured the world’s attention after Russia invaded Ukraine,"March 24, 2022 at 10:05 PM GMT+5:30"
890,"Journalists Maksym Levin, Brent Renaud, Pierre Zakrzewski, Oleksandra Kuvshynova, Oksana Baulina, Yevhenii Sakun, Vira Hyrych and Frédéric Leclerc-Imhoff have been killed.",meter-true,These are the journalists killed during Russia’s war on Ukraine,"March 24, 2022 at 5:44 PM GMT+5:30"
891,Mateusz Morawiecki on the war in Ukraine and how NATO and Europe should respond,meter-true,Perspective | Poland’s prime minister thinks the U.S. needs to do more to help Ukraine,"March 24, 2022 at 12:30 PM GMT+5:30"
892,A lot of Americans want to do something more about Russia's invasion of Ukraine. What is possible and what is not?,meter-true,Perspective | How much more can the war in Ukraine escalate?,"March 23, 2022 at 4:30 PM GMT+5:30"
893,The problem with a negotiated peace right now is that both sides think they can win.,meter-true,Perspective | When will the war in Ukraine end?,"March 22, 2022 at 3:44 AM GMT+5:30"
894,Russia is trying to claim its first strategic victory in the war in the Ukrainian port city,meter-true,"As Mariupol faces a Russian onslaught, the hope for negotiations becomes murky","March 21, 2022 at 4:54 AM GMT+5:30"
895,Nearly 10 million have fled or been displaced as Russia shells civilian targets; at least 40 killed in Russian strike on military barracks,meter-true,Fierce fighting continues across Ukraine as Zelensky calls for ‘meaningful negotiations’,"March 20, 2022 at 5:29 AM GMT+5:30"
896,,meter-true,Opinion | The difficulties in ending the war in Ukraine,"March 19, 2022 at 12:01 AM GMT+5:30"
897,"In a video call, Biden laid out for China's president ""the implications and consequences if China provides material support to Russia.""",meter-true,Biden warns China’s Xi not to help Russia on Ukraine,"March 18, 2022 at 4:58 PM GMT+5:30"
898,"Neighboring countries are dealing with the mass exodus. But from Rome to Paris to London, daily life has not transformed much.",meter-true,"While Russia wages war in Ukraine, life in much of Europe remains normal, but uneasy","March 18, 2022 at 12:30 PM GMT+5:30"
899,"The midterm campaigns get a Ukraine detour, Rep. Ilhan Omar's (D-Minn.) opponent talks about his race, and why a few red states are still not finished with redistricting — or suing over it.",meter-true,Analysis | The Trailer: How war in Ukraine is re-routing the campaign trail,"March 18, 2022 at 3:49 AM GMT+5:30"
900,This is a time for choosing.,meter-true,"Opinion | Russian athletes and artists have moral obligations, too","March 17, 2022 at 9:30 PM GMT+5:30"
901,His aura of invincibility is gone.,meter-true,Opinion | Putin has already lost,"March 17, 2022 at 7:30 PM GMT+5:30"
902,Nowhere has the impact of the war on a Western election been greater than in France.,meter-true,Analysis | Putin’s praisers in the West have suffered less than you might think,"March 17, 2022 at 9:31 AM GMT+5:30"
903,"Despite protestations of neutrality and some minor changes in rhetoric, China has clearly chosen to stick with Russia over the invasion of Ukraine.",meter-true,China’s attempt to play both sides of the Ukraine crisis is starting to crack,"March 16, 2022 at 5:26 PM GMT+5:30"
904,Meta is poised to seek guidance from its oversight board about a policy shift in Ukraine.,meter-true,Analysis | War in Ukraine highlights limits of the Facebook oversight board,"March 15, 2022 at 6:25 PM GMT+5:30"
905,The war in Ukraine is undermining Russia's hopes for a better future.,meter-true,Opinion | How Putin’s war is driving Russia’s best tech minds into exile,"March 14, 2022 at 4:30 PM GMT+5:30"
906,"Convoys of food and medicine have been unable to reach hundreds of thousands of civilians trapped behind Russian lines, while video and satellite images have shown some of the devastation across Ukraine.",meter-true,Russians advance in Ukrainian cities as war deepens and diplomatic efforts fail,"March 13, 2022 at 6:30 AM GMT+5:30"
907,"With astonishing speed, Ukraine shifts from normal life to fighting off an invading army.",meter-true,"Amid war and brutality, Ukrainians are transformed and united","March 12, 2022 at 12:46 AM GMT+5:30"
908,The network's opinion hosts would like to remind the news side who runs the show.,meter-true,Analysis | The war in Ukraine spills over onto Fox News airwaves,"March 11, 2022 at 8:17 PM GMT+5:30"
909,"“We will fight in the forests, on the shores, in the streets,” the Ukrainian president told British lawmakers, evoking Winston Churchill during World War II.",meter-true,"Zelensky receives standing ovation, calls for more support in address to U.K. Parliament via video ","March 08, 2022 at 2:17 PM GMT+5:30"
910,Lives may yet be saved if those waging this war fully understand that it is a crime in every sense of the word.,meter-true,"Opinion | As Russia escalates its aggression on Ukraine, evidence of war crimes mounts","March 08, 2022 at 4:10 AM GMT+5:30"
911,Putin's lies about the war depend on a total monopoly on news coverage.,meter-true,Opinion | Why the West should help Russians learn the truth about Putin’s war in Ukraine,"March 07, 2022 at 10:57 PM GMT+5:30"
912,"In an emotional video on Monday, the actor turned president offered viewers a sliver of hope.",meter-true,"Zelensky dangles hope for life after Russia’s invasion: Land ‘without tanks,’ sky ‘without rockets’","March 07, 2022 at 6:35 PM GMT+5:30"
913,"Ukraine’s government has opened a new front in the conflict, dispatching visual teams to bombed sites to gather evidence of possible war crimes.",meter-true,"Amid the death and rubble, Ukrainian teams hunt for evidence of possible war crimes","March 07, 2022 at 4:08 AM GMT+5:30"
914,Police he and others have showed up at the embassy volunteering to fight in the war against Russia.,meter-true,Indiana man charged with bringing weapons to Ukrainian Embassy in D.C. is arraigned,"March 05, 2022 at 9:30 PM GMT+5:30"
915,"Just two weeks ago, Ukrainians were documenting going to concerts, eating out, grabbing drinks with their friends.  Now their phones ring out with warnings and deliver texts from loved ones checking if they are alive.",meter-true,How war abruptly changed life in Ukraine: ‘I woke up to the sound of explosions’,"March 05, 2022 at 7:24 PM GMT+5:30"
916,"When we visited the platoon’s team house in the days before the Russian invasion, it was a warm and inviting place to two outsiders.",meter-true,I’ve tried to reach Ukrainian snipers I met before the invasion. One message came back: ‘It is war here.’ ,"March 05, 2022 at 2:30 PM GMT+5:30"
917,Some onlookers are frustrated that President Biden has ruled out directly attacking Russian forces. But it’s a necessary step to avoid catastrophic escalation.,meter-true,Perspective | A no-fly zone might help Ukraine. Or it might lead to nuclear war.,"March 04, 2022 at 9:04 PM GMT+5:30"
918,"Taiwan's leaders are at pains to point to the differences between their country and Ukraine, but residents still fear a Chinese invasion.",meter-true,"Taiwan’s leaders try to calm fears over Ukraine invasion, but citizens worry their island will be next","March 04, 2022 at 6:54 PM GMT+5:30"
919,Deterrence won’t be enough for a Russian leader who has never lost a war.,meter-true,Perspective | The West doesn’t want to push Putin toward using nuclear weapons. It might not matter.,"March 04, 2022 at 3:42 AM GMT+5:30"
920,"After a week of fighting, it is clear that Vladimir Putin is determined to conquer the country at any cost.",meter-true,Opinion | The atrocities inflicted on Ukrainian civilians must not go unanswered,"March 04, 2022 at 2:51 AM GMT+5:30"
921,When an elegant theory collides with a messy reality.,meter-true,Perspective | Can realism explain the war in Ukraine?,"March 03, 2022 at 5:30 PM GMT+5:30"
922,"Through videos verified by The Washington Post, and scenes captured by Post correspondents, here’s how the war has unfolded.",meter-true,"In videos and photos, a timeline of Russia’s war on Ukraine  ","March 03, 2022 at 3:47 AM GMT+5:30"
923,Post reporters who have been covering the war — including on the ground in Ukraine — answered your questions live on March 3.,meter-true,"What will happen to Russia’s 40-mile convoy? Your questions, answered.","March 02, 2022 at 6:15 AM GMT+5:30"
924,"As we started driving from Kyiv, we saw warplanes in the sky and it smelled like burning. “The war is already here. Is this my country?”",meter-true,"Opinion | Love, war and two cats — What fleeing Kyiv looked like for us","March 02, 2022 at 4:01 AM GMT+5:30"
925,The world needs to know the extent of Putin's aggression in Ukraine.,meter-true,Opinion | When does an invasion become a war crime?,"March 01, 2022 at 6:15 PM GMT+5:30"
926,"The rapid escalation on both sides, observers say, has made the once-theoretical risk of direct confrontation between Russia and the West a tangible possibility with little hope of the tension subsiding — maybe for years to come.",meter-true,Rapid escalation of Ukraine crisis fuels fear of confrontation between Russia and the West,"March 01, 2022 at 4:30 PM GMT+5:30"
927,"Moscow is unlikely to abandon its assault on Kharkiv, a predominantly Russian-speaking city that’s become central to Russia’s advance beyond the east.",meter-true,"Why Kharkiv, a city known for its poets, has become a key battleground in Ukraine ","February 28, 2022 at 5:05 PM GMT+5:30"
928,How cybersecurity experts work to counter Russian propaganda.,meter-true,An ‘IT army’ is fighting Russian propaganda ,"February 28, 2022 at 3:21 AM GMT+5:30"
929,The lose-lose outcome persists.,meter-true,Perspective | The war in Ukraine is going badly for everyone,"February 28, 2022 at 2:37 AM GMT+5:30"
930,These courageous people demonstrated vividly the opposition that Mr. Putin faces at home.,meter-true,"Opinion | From the streets of Russia, protests rise to the war without a cause","February 26, 2022 at 4:17 AM GMT+5:30"
931,"It could be used by both sides, but the impact isn't likely to turn the tide.",meter-true,"In the world’s first crypto war, uncertainty about who will benefit ","February 25, 2022 at 3:30 PM GMT+5:30"
932,"The tools of modern social media are almost certainly faster, more visual and more voluminous than in any previous major military conflict thanks to the proliferation of smartphones connected to speedy data links. They can also be confusing.",meter-true,Social media fuels new type of ‘fog of war’ in Ukraine conflict,"February 24, 2022 at 11:39 PM GMT+5:30"
933,The military equipment and troops keep coming.,meter-true,"In Russia’s borderlands near Ukraine, military buildup becomes part of the scenery","February 10, 2022 at 2:30 PM GMT+5:30"
934,"China is watching. If Putin can invade Ukraine, Taiwan may be next.",meter-true,"Opinion | If Putin is allowed to invade Ukraine, America’s credibility would lie in tatters","February 09, 2022 at 2:01 AM GMT+5:30"
935,"Washington awaits outcome of ""last chance"" talks before deciding whether to arm Ukraine forces.",meter-true,"As fighting flares in Ukraine, leaders make a last-ditch try for a peace pact","February 11, 2015 at 5:37 PM GMT+5:30"
936,People interviewed in both Kiev and the east are weary of war but still deeply divided on a way forward.,meter-true,Will Ukraine peace talks succeed?,"September 04, 2014 at 2:30 PM GMT+5:30"
937,"At Point 18, one army company defends the right flank of an almost deserted village close to a strategically key airport.",meter-true,"Inside a Ukrainian army unit’s headquarters, the war never ends",
938,"As the second month of the war in Ukraine came to a close, Ukrainians across the country were praying. Some were in Orthodox churches. Others were in synagogues or mosques. Many were forced to worship underground, in shelters away from Russian military bombardment.",meter-true,Photos of religious celebrations amid war in Ukraine,
939,"Winter has been Russia’s great strategic asset in past wars. This year, long-range forecasts could mean a change of fortune.",meter-true,Opinion | A potential new snag for Putin: The retreat of Jack Frost,"September 03, 2022 at 1:59 AM GMT+5:30"
940,"The altered stamp release comes after Ukrainian forces, using intelligence from the United States, attacked the Moskva, the flagship of Russia’s Black Sea fleet. It later sank. ",meter-true,Ukraine issues stamp commemorating sinking of Russian warship ,"May 24, 2022 at 1:13 AM GMT+5:30"
941,"Success in modern warfare increasingly involves the ability to intercept, jam and alter opponents' communications. Russia expected to dominate this realm, but it has stumbled instead.",meter-true,Opinion | Russia is losing on the electronic battlefield,"May 04, 2022 at 4:12 AM GMT+5:30"
942,,meter-true,Opinion | Russia shows us how easy it is to spread ‘alternative facts’,"April 08, 2022 at 12:00 AM GMT+5:30"
943,"Poles are rallying to welcome the newcomers, but the influx is taking a toll on housing, schools, medical care and other services.",meter-true,Ukrainian refugees are flooding into Warsaw. Its mayor warns of a breaking point.,"March 21, 2022 at 12:30 PM GMT+5:30"
944,Ukrainians aren't a particularly foul-mouthed people. They’re just incredibly angry.,meter-true,"Ukraine is fighting back, one swear word at a time","March 05, 2022 at 2:06 AM GMT+5:30"
945,"Ukrainian President Volodymyr Zelensky said the 13 who were killed will be bestowed with the title “Hero of Ukraine,” the highest honorific he can award.",meter-true,"On Ukraine’s Snake Island, a defiant last stand against Russian forces","February 25, 2022 at 4:00 PM GMT+5:30"
946,Trucks entered without Ukraine’s permission or the accompaniment of the International Committee of the Red Cross.,meter-true,NATO denounces Russia over reports it fired at Ukrainian forces from inside Ukraine,"August 22, 2014 at 3:29 PM GMT+5:30"
947,"The threat of full-scale invasion intensified Saturday amid shelling in Ukraine's eastern separatist regions, as Ukrainian President Volodymyr Zelensky called on Russian President Vladimir Putin to meet him and seek a diplomatic resolution to the crisis.",meter-true,Russian forces stay in Belarus; Biden convenes NSC about invasion threat,"February 20, 2022 at 12:01 PM GMT+5:30"
948,"Manuel Roig-Franzia is a feature writer in The Washington Post’s Style section, where he profiles national figures in the worlds of politics, the law and the arts. He previously served as bureau chief in Miami for The Post's National staff and in Mexico City for the Post's Foreign staff. He is the author of a biography of Sen. Marco Rubio.",meter-true,,
949,"Dalton Bennett is a Pulitzer Prize-winning reporter and researcher at The Washington Post, where he has worked since 2016 after five years covering conflict with the AP.  ",meter-true,,
